"gender","masterCategory","subCategory","articleType","baseColour","season","year","usage"
"Boys","Apparel","Topwear","Tshirts","Brown","Fall","2011.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Green","Spring","2017.0","Casual"
"Women","Apparel","Bottomwear","Leggings","Lavender","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Blue","Winter","2011.0","Formal"
"Men","Apparel","Topwear","Tshirts","Brown","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Blue","Summer","2016.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Brown","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","White","Summer","2012.0","Casual"
"Men","Accessories","Belts","Belts","Black","Summer","2013.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Navy Blue","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Sweaters","Blue","Fall","2011.0","Casual"
"Women","Accessories","Bags","Clutches","Purple","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Duffel Bag","Green","Winter","2015.0","Casual"
"Men","Footwear","Sandal","Sandals","Tan","Fall","2011.0","Casual"
"Men","Accessories","Belts","Belts","Green","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Olive","Winter","2018.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Winter","2015.0","Formal"
"Women","Apparel","Saree","Sarees","Green","Fall","2012.0","Casual"
"Women","Accessories","Socks","Socks","White","Fall","2014.0","Casual"
"Unisex","Accessories","Socks","Socks","Black","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Tops","Grey Melange","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Apparel","Apparel Set","Kurta Sets","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Summer","2011.0","Casual"
"Men","Accessories","Headwear","Caps","Purple","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Navy Blue","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Black","Summer","2017.0","Casual"
"Unisex","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Women","Apparel","Bottomwear","Skirts","Red","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","White","Summer","2016.0","Casual"
"Women","Footwear","Shoes","Casual Shoes","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Black","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Fall","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","Green","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Red","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Grey","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Shorts","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2010.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Yellow","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Winter","2014.0","Casual"
"Women","Apparel","Topwear","Tops","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Sweaters","Navy Blue","Fall","2011.0","Casual"
"Men","Accessories","Headwear","Caps","Blue","Fall","2011.0","Casual"
"Women","Apparel","Innerwear","Briefs","White","Winter","2017.0","Formal"
"Men","Footwear","Flip Flops","Flip Flops","Blue","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Tan","Winter","2018.0","Formal"
"Women","Personal Care","Lips","Lipstick","Purple","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Tshirts","Grey","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Unisex","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Footwear","Shoes","Casual Shoes","Grey","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Off White","Summer","2012.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Copper","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Navy Blue","Summer","2012.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Brown","Spring","2017.0","Casual"
"Women","Apparel","Innerwear","Briefs","Grey","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2011.0","Casual"
"Girls","Apparel","Topwear","Tops","Peach","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Red","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Trousers","Black","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Sweaters","Beige","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Women","Apparel","Topwear","Kurtas","Off White","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Grey","Winter","2015.0","Formal"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtis","Purple","Fall","2011.0","Casual"
"Unisex","Accessories","Bags","Laptop Bag","Black","Summer","2015.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2010.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Navy Blue","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Casual Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Women","Accessories","Wallets","Wallets","Purple","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Accessories","Bags","Handbags","Beige","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2011.0","Casual"
"Men","Apparel","Bottomwear","Tracksuits","Olive","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Winter","2012.0","Formal"
"Boys","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Orange","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Fall","2011.0","Casual"
"Women","Apparel","Topwear","Tunics","Red","Summer","2012.0","Casual"
"Women","Personal Care","Lips","Lipstick","Brown","Spring","2017.0","Casual"
"Women","Accessories","Bags","Clutches","Maroon","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Blue","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2013.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Green","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Summer","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Green","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Black","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Gold","Winter","2016.0","Fashionable"
"Men","Accessories","Socks","Socks","Navy Blue","Summer","2016.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2011.0","Casual"
"Men","Personal Care","Fragrance","Perfume and Body Mist","White","Spring","2017.0","Casual"
"Men","Accessories","Cufflinks","Cufflinks","Red","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Blue","Fall","2011.0","Formal"
"Unisex","Footwear","Sandal","Sandals","Black","Winter","2013.0","Casual"
"Men","Accessories","Belts","Belts","Brown","Fall","2011.0","Fashionable"
"Unisex","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Men","Apparel","Loungewear and Nightwear","Night suits","Maroon","Summer","2016.0","Casual"
"Men","Apparel","Topwear","Suspenders","Red","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Purple","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Brown","Fall","2011.0","Formal"
"Men","Accessories","Eyewear","Sunglasses","Brown","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Tshirts","Pink","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","Steel","Winter","2016.0","Fashionable"
"Boys","Apparel","Topwear","Shirts","White","Summer","2012.0","Formal"
"Men","Footwear","Shoes","Sports Shoes","White","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Tunics","Grey","Summer","2012.0","Casual"
"Girls","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Unisex","Accessories","Watches","Watches","Brown","Winter","2016.0","Formal"
"Women","Apparel","Innerwear","Bra","Beige","Summer","2017.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Unisex","Footwear","Flip Flops","Flip Flops","Red","Summer","2012.0","Casual"
"Men","Accessories","Jewellery","Ring","Steel","Summer","2013.0","Casual"
"Men","Accessories","Scarves","Scarves","Beige","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Boys","Footwear","Shoes","Casual Shoes","Red","Winter","2012.0","Casual"
"Men","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Men","Accessories","Belts","Belts","Brown","Fall","2011.0","Fashionable"
"Women","Footwear","Shoes","Casual Shoes","Silver","Winter","2015.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Brown","Winter","2012.0","Formal"
"Women","Accessories","Wallets","Wallets","White","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Personal Care","Makeup","Compact","Skin","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Yellow","Fall","2011.0","Casual"
"Men","Accessories","Bags","Messenger Bag","White","Summer","2012.0","Casual"
"Women","Accessories","Wallets","Wallets","Pink","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Fall","2011.0","Casual"
"Women","Accessories","Bags","Handbags","Blue","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Necklace and Chains","Gold","Fall","2012.0","Casual"
"Women","Personal Care","Skin","Face Moisturisers","Green","Spring","2017.0","Casual"
"Unisex","Accessories","Bags","Laptop Bag","Beige","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Silver","Winter","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Footwear","Sandal","Sandals","Brown","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Briefs","Pink","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Orange","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Purple","Winter","2015.0","Formal"
"Women","Footwear","Shoes","Casual Shoes","White","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Green","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2011.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Orange","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Track Pants","Grey","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Flats","Brown","Winter","2012.0","Formal"
"Women","Apparel","Topwear","Kurtas","Red","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Leggings","Black","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Orange","Summer","2011.0","Casual"
"Unisex","Apparel","Topwear","Tshirts","Pink","Summer","2011.0","Casual"
"Women","Accessories","Watches","Watches","Black","Winter","2016.0","Fashionable"
"Men","Apparel","Innerwear","Innerwear Vests","Grey","Summer","2016.0","Casual"
"Women","Apparel","Topwear","Tops","Yellow","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Red","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2015.0","Casual"
"Women","Apparel","Topwear","Tshirts","Green","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Heels","White","Winter","2015.0","Formal"
"Women","Accessories","Socks","Socks","Blue","Summer","2017.0","Casual"
"Women","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Women","Accessories","Bags","Handbags","Green","Winter","2015.0","Formal"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2011.0","Formal"
"Boys","Apparel","Topwear","Tshirts","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Casual Shoes","Red","Summer","2012.0","Casual"
"Unisex","Footwear","Sandal","Sports Sandals","Black","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Women","Accessories","Wallets","Wallets","Tan","Winter","2015.0","Formal"
"Women","Personal Care","Lips","Lip Gloss","Pink","Spring","2017.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Fall","2010.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Fall","2011.0","Formal"
"Women","Apparel","Innerwear","Bra","Black","Fall","2015.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Apparel","Innerwear","Briefs","Red","Winter","2016.0","Formal"
"Women","Apparel","Topwear","Tshirts","White","Summer","2011.0","Casual"
"Boys","Apparel","Topwear","Shirts","Red","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Men","Apparel","Topwear","Tshirts","Green","Fall","2011.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Olive","Summer","2015.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Fall","2011.0","Formal"
"Women","Accessories","Bags","Handbags","Blue","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Shirts","White","Summer","2011.0","Formal"
"Women","Accessories","Bags","Handbags","Pink","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2010.0","Casual"
"Women","Apparel","Topwear","Tshirts","Peach","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","Silver","Winter","2016.0","Formal"
"Unisex","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Women","Personal Care","Makeup","Foundation and Primer","Skin","Spring","2017.0","Casual"
"Women","Apparel","Topwear","Dupatta","Off White","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Mushroom Brown","Winter","2018.0","Formal"
"Men","Apparel","Topwear","Jackets","Khaki","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Brown","Spring","2017.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","White","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Sweaters","Green","Spring","2013.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Grey","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Fall","2011.0","Formal"
"Unisex","Accessories","Bags","Backpacks","Black","Winter","2015.0","Formal"
"Women","Apparel","Bottomwear","Jeans","Blue","Fall","2011.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Red","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Maroon","Spring","2013.0","Casual"
"Men","Apparel","Topwear","Shirts","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2013.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Brown","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Flats","Silver","Spring","2013.0","Casual"
"Men","Apparel","Topwear","Shirts","Blue","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Bangle","Turquoise Blue","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","White","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Shirts","Green","Fall","2011.0","Formal"
"Women","Footwear","Shoes","Sports Shoes","White","Fall","2011.0","Casual"
"Unisex","Accessories","Bags","Backpacks","Black","Winter","2015.0","Casual"
"Men","Apparel","Innerwear","Briefs","Black","Summer","2016.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Navy Blue","Spring","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Pink","Summer","2012.0","Casual"
"Men","Personal Care","Fragrance","Deodorant","Green","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Shirts","Red","Fall","2011.0","Formal"
"Men","Footwear","Sandal","Sandals","Black","Summer","2012.0","Casual"
"Unisex","Footwear","Flip Flops","Flip Flops","Silver","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Gold","Winter","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Grey","Summer","2012.0","Casual"
"Unisex","Accessories","Bags","Laptop Bag","Brown","Fall","2012.0","Casual"
"Women","Apparel","Loungewear and Nightwear","Nightdress","Blue","Winter","2015.0","Formal"
"Men","Footwear","Shoes","Casual Shoes","Brown","Winter","2018.0","Casual"
"Men","Accessories","Ties","Ties","Yellow","Summer","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Olive","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Tops","Cream","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Sweaters","Red","Fall","2011.0","Casual"
"Men","Apparel","Bottomwear","Shorts","Navy Blue","Fall","2012.0","Casual"
"Women","Accessories","Bags","Handbags","Black","Summer","2012.0","Casual"
"Men","Accessories","Socks","Socks","Navy Blue","Summer","2016.0","Casual"
"Women","Apparel","Innerwear","Bra","Purple","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","Pink","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2012.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Blue","Fall","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Blue","Summer","2011.0","Casual"
"Women","Apparel","Innerwear","Briefs","Rose","Winter","2015.0","Formal"
"Men","Apparel","Topwear","Suspenders","Black","Summer","2012.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Summer","2011.0","Casual"
"Men","Free Items","Free Gifts","Free Gifts","Black","Winter","2016.0","Casual"
"Women","Accessories","Bags","Handbags","White","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","Rust","Summer","2013.0","Casual"
"Girls","Apparel","Topwear","Tops","White","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Spring","2012.0","Casual"
"Women","Apparel","Saree","Sarees","Green","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Brown","Winter","2018.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Men","Footwear","Shoes","Sports Shoes","White","Summer","2010.0","Casual"
"Unisex","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Footwear","Shoes","Heels","White","Winter","2014.0","Casual"
"Men","Apparel","Topwear","Tshirts","Orange","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Blue","Winter","2016.0","Formal"
"Men","Apparel","Topwear","Shirts","White","Fall","2011.0","Formal"
"Women","Apparel","Topwear","Kurtis","Pink","Fall","2011.0","Casual"
"Boys","Apparel","Topwear","Tshirts","Yellow","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Briefs","White","Summer","2017.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Fall","2012.0","Casual"
"Women","Accessories","Watches","Watches","White","Winter","2016.0","Fashionable"
"Women","Apparel","Bottomwear","Shorts","Yellow","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Brown","Winter","2016.0","Formal"
"Women","Personal Care","Nails","Nail Polish","Pink","Spring","2017.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Apparel","Innerwear","Briefs","Purple","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Red","Winter","2016.0","Fashionable"
"Women","Apparel","Topwear","Tops","White","Summer","2011.0","Casual"
"Women","Personal Care","Lips","Lip Gloss","Gold","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Tshirts","Red","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Summer","2012.0","Casual"
"Women","Accessories","Scarves","Scarves","Purple","Summer","2012.0","Casual"
"Women","Accessories","Wallets","Wallets","Brown","Winter","2015.0","Formal"
"Women","Apparel","Bottomwear","Jeans","Navy Blue","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Grey","Summer","2012.0","Casual"
"Women","Accessories","Jewellery","Earrings","Red","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Women","Accessories","Belts","Belts","Black","Summer","2012.0","Casual"
"Women","Apparel","Bottomwear","Jeans","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Green","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Women","Footwear","Shoes","Heels","Black","Winter","2015.0","Casual"
"Men","Apparel","Topwear","Tshirts","Blue","Fall","2011.0","Casual"
"Unisex","Accessories","Socks","Socks","White","Summer","2011.0","Casual"
"Men","Footwear","Sandal","Sandals","Beige","Fall","2009.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Summer","2012.0","Casual"
"Men","Footwear","Sandal","Sandals","Black","Summer","2012.0","Casual"
"Women","Apparel","Saree","Sarees","Multi","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Women","Apparel","Bottomwear","Leggings","Pink","Fall","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Grey","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Olive","Fall","2011.0","Casual"
"Men","Apparel","Topwear","Sweaters","Purple","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Formal Shoes","Black","Summer","2012.0","Formal"
"Men","Accessories","Headwear","Caps","Red","Fall","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","White","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","White","Summer","2012.0","Casual"
"Men","Apparel","Bottomwear","Trousers","Black","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Cream","Fall","2011.0","Casual"
"Men","Accessories","Eyewear","Sunglasses","Black","Winter","2016.0","Formal"
"Men","Personal Care","Fragrance","Deodorant","Red","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Sweaters","Grey","Fall","2011.0","Casual"
"Women","Personal Care","Nails","Nail Polish","Magenta","Spring","2017.0","Casual"
"Boys","Apparel","Topwear","Tshirts","White","Fall","2011.0","Casual"
"Women","Footwear","Shoes","Sports Shoes","Grey","Summer","2012.0","Casual"
"Women","Apparel","Innerwear","Bra","Lavender","Summer","2017.0","Casual"
"Women","Accessories","Bags","Handbags","Brown","Winter","2015.0","Formal"
"Women","Apparel","Topwear","Sweatshirts","Black","Summer","2011.0","Casual"
"Men","Accessories","Watches","Watches","White","Winter","2016.0","Formal"
"Men","Accessories","Bags","Backpacks","Black","Summer","2012.0","Casual"
"Men","Footwear","Shoes","Sports Shoes","Grey","Summer","2012.0","Casual"
"Men","Accessories","Belts","Belts","Black","Summer","2013.0","Casual"
"Women","Footwear","Shoes","Heels","Silver","Winter","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Yellow","Summer","2012.0","Casual"
"Men","Apparel","Innerwear","Briefs","Grey Melange","Summer","2016.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Black","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Silver","Winter","2016.0","Formal"
"Men","Footwear","Flip Flops","Flip Flops","Grey","Summer","2012.0","Casual"
"Women","Apparel","Topwear","Kurtas","Purple","Summer","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Khaki","Winter","2018.0","Casual"
"Men","Footwear","Flip Flops","Flip Flops","Red","Summer","2012.0","Casual"
"Women","Apparel","Dress","Dresses","Grey","Fall","2012.0","Casual"
"Girls","Apparel","Bottomwear","Leggings","Blue","Summer","2012.0","Casual"
"Women","Footwear","Shoes","Heels","Brown","Winter","2012.0","Formal"
"Men","Apparel","Topwear","Shirts","Teal","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Tshirts","Grey","Summer","2011.0","Casual"
"Women","Apparel","Innerwear","Briefs","Lavender","Summer","2017.0","Casual"
"Men","Accessories","Wallets","Wallets","Black","Summer","2012.0","Casual"
"Women","Accessories","Watches","Watches","Blue","Winter","2016.0","Fashionable"
"Women","Apparel","Topwear","Kurtas","Purple","Fall","2011.0","Casual"
"Women","Personal Care","Lips","Lipstick","Brown","Spring","2017.0","Casual"
"Men","Apparel","Topwear","Shirts","Navy Blue","Summer","2011.0","Formal"
"Men","Footwear","Shoes","Sports Shoes","Black","Fall","2011.0","Casual"
"Women","Accessories","Jewellery","Earrings","Gold","Summer","2012.0","Casual"
"Men","Apparel","Topwear","Shirts","Navy Blue","Summer","2012.0","Formal"
"Women","Footwear","Shoes","Flats","Brown","Winter","2015.0","Formal"
"Women","Footwear","Shoes","Sports Shoes","Grey","Summer","2011.0","Casual"
"Men","Apparel","Topwear","Tshirts","Black","Fall","2011.0","Casual"
"Men","Footwear","Shoes","Casual Shoes","Black","Summer","2012.0","Casual"
"Men","Accessories","Watches","Watches","Black","Winter","2016.0","Formal"
"Men","Accessories","Eyewear","Sunglasses","Black","Winter","2016.0","Fashionable"
"Women","Accessories","Bags","Mobile Pouch","Grey","Summer","2012.0","Casual"
"Women","Personal Care","Lips","Lipstick","Brown","Spring","2017.0","Casual"
